,Nome,Aparição
0,ada-wong,Biohazard / Resident Evil 2
1,ada-wong,Biohazard / Resident Evil 4
2,ada-wong,Biohazard / Resident Evil: Operation Raccoon City
3,ada-wong,Biohazard / Resident Evil: Damnation
4,ada-wong,Biohazard / Resident Evil 6
5,ada-wong,Biohazard RE:2 / Resident Evil 2
0,adam-benford,Biohazard / Resident Evil 6
0,alan-douglas,Biohazard / Resident Evil 7
0,albert-wesker,Biohazard / Resident Evil Clássico
1,albert-wesker,Biohazard / Resident Evil CODE: Veronica
2,albert-wesker,Biohazard / Resident Evil Remake
3,albert-wesker,Biohazard / Resident Evil 0
4,albert-wesker,Biohazard / Resident Evil 4
5,albert-wesker,Biohazard / Resident Evil: Deadly Silence
6,albert-wesker,Biohazard Umbrella Chronicles / Resident Evil: The Umbrella Chronicles
7,albert-wesker,Biohazard / Resident Evil 5
8,albert-wesker,Biohazard The Darkside Chronicles / Resident Evil: The Darkside Chronicles
9,albert-wesker,Biohazard / Resident Evil: The Mercenaries 3D
0,alex-wesker,Biohazard / Resident Evil 5
1,alex-wesker,Biohazard / Resident Evil Revelations 2
0,alexander-ashford,Biohazard / Resident Evil CODE: Veronica
0,alexia-ashford,Biohazard / Resident Evil CODE: Veronica
0,alfred-ashford,Biohazard / Resident Evil CODE: Veronica
0,alyssa-ashcroft,Biohazard / Resident Evil Outbreak
1,alyssa-ashcroft,Biohazard / Resident Evil Outbreak File #2
0,andy-holland,Biohazard Gun Survivor / Resident Evil Survivor
0,andre-strickland,Biohazard / Resident Evil 7
0,angela-miller,Biohazard / Resident Evil: Degeneration
0,annette-birkin,Biohazard / Resident Evil 2
1,annette-birkin,Biohazard RE:2 / Resident Evil 2
0,ark-thompson,Biohazard Gun Survivor / Resident Evil Survivor
0,ashley-graham,Biohazard / Resident Evil 4
0,ivan-ataman-judanovich,Biohazard / Resident Evil: Damnation
0,barry-burton,Biohazard / Resident Evil Clássico
1,barry-burton,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
2,barry-burton,Biohazard / Resident Evil Remake
3,barry-burton,Biohazard / Resident Evil: Deadly Silence
4,barry-burton,Biohazard / Resident Evil Gaiden
5,barry-burton,Biohazard / Resident Evil 5
6,barry-burton,Biohazard / Resident Evil: The Mercenaries 3D
7,barry-burton,Biohazard / Resident Evil Revelations 2
0,beltway-hector-hivers,Biohazard / Resident Evil: Operation Raccoon City
0,ben-bertolucci,Biohazard / Resident Evil 2
1,ben-bertolucci,Biohazard / Resident Evil Outbreak File #2
2,ben-bertolucci,Biohazard RE:2 / Resident Evil 2
0,bertha-michaela-schneider,Biohazard / Resident Evil: Operation Raccoon City
0,billy-coen,Biohazard / Resident Evil 0
0,bitores-mendez,Biohazard / Resident Evil 4
0,brad-vickers,Biohazard / Resident Evil Clássico
1,brad-vickers,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
2,brad-vickers,Biohazard / Resident Evil Remake
3,brad-vickers,Biohazard / Resident Evil: Deadly Silence
0,brian-irons,Biohazard / Resident Evil 2
1,brian-irons,Biohazard RE:2 / Resident Evil 2
0,bruce-mcgivern,Biohazard Gun Survivor 4: Heroes Never Die / Resident Evil Dead Aim
0,alexander-buddy-kozachenko,Biohazard / Resident Evil: Damnation
0,carla-radames,Biohazard / Resident Evil 6
0,carlos-oliveira,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
1,carlos-oliveira,Biohazard / Resident Evil: Operation Raccoon City
0,chris-redfield,Biohazard / Resident Evil Clássico
1,chris-redfield,Biohazard / Resident Evil CODE: Veronica
2,chris-redfield,Biohazard / Resident Evil Remake
3,chris-redfield,Biohazard / Resident Evil: Deadly Silence
4,chris-redfield,Biohazard / Resident Evil 5
5,chris-redfield,Biohazard / Resident Evil: The Mercenaries 3D
6,chris-redfield,Biohazard / Resident Evil: Revelations
7,chris-redfield,Biohazard / Resident Evil 6
8,chris-redfield,Biohazard The Stage
9,chris-redfield,Biohazard / Resident Evil 7
10,chris-redfield,Biohazard / Resident Evil Vendetta
0,cindy-lennox,Biohazard / Resident Evil Outbreak
1,cindy-lennox,Biohazard / Resident Evil Outbreak File #2
0,claire-redfield,Biohazard / Resident Evil 2
1,claire-redfield,Biohazard / Resident Evil CODE: Veronica
2,claire-redfield,Biohazard Gun Survivor 2 / Resident Evil Survivor 2
3,claire-redfield,Biohazard / Resident Evil: Degeneration
4,claire-redfield,Biohazard / Resident Evil: The Mercenaries 3D
5,claire-redfield,Biohazard / Resident Evil: Operation Raccoon City
6,claire-redfield,Biohazard / Resident Evil Revelations 2
7,claire-redfield,Biohazard RE:2 / Resident Evil 2
0,clancy-javis,Biohazard / Resident Evil 7
0,clive-r-obrian,Biohazard / Resident Evil: Revelations
0,curtis-miller,Biohazard / Resident Evil: Degeneration
0,dan-dechant,Biohazard / Resident Evil 5
0,dario-rosso,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,dave-johnson,Biohazard / Resident Evil 5
0,david-anderson,Biohazard / Resident Evil 7
0,deborah-harper,Biohazard / Resident Evil 6
0,dee-ay-crispin-jettingham,Biohazard / Resident Evil: Operation Raccoon City
0,derek-c-simmons,Biohazard / Resident Evil 6
0,doug-re5-desperate-escape,Biohazard / Resident Evil 5
0,edward-ashford,Biohazard / Resident Evil CODE: Veronica
0,edward-dewey,Biohazard / Resident Evil 0
0,edward-thompson,Biohazard / Resident Evil Revelations 2
0,emma-kendo,Biohazard RE:2 / Resident Evil 2
0,enrico-marini,Biohazard / Resident Evil 0
1,enrico-marini,Biohazard / Resident Evil: Deadly Silence
0,ethan-winters,Biohazard / Resident Evil 7
0,eveline,Biohazard / Resident Evil 7
0,evgeny-rebic,Biohazard / Resident Evil Revelations 2
0,finn-macauley,Biohazard / Resident Evil 6
0,fong-ling,Biohazard Gun Survivor 4: Heroes Never Die / Resident Evil Dead Aim
0,forest-speyer,Biohazard / Resident Evil Clássico
1,forest-speyer,Biohazard / Resident Evil Remake
2,forest-speyer,Biohazard / Resident Evil 0
3,forest-speyer,Biohazard / Resident Evil: Deadly Silence
0,four-eyes-christine-yamata,Biohazard / Resident Evil: Operation Raccoon City
0,frederic-downing,Biohazard / Resident Evil: Degeneration
0,gabriel-chavez,Biohazard / Resident Evil Revelations 2
0,george-hamilton,Biohazard / Resident Evil Outbreak
1,george-hamilton,Biohazard / Resident Evil Outbreak File #2
0,george-trevor,Biohazard / Resident Evil Remake
0,gina-foley,Biohazard / Resident Evil Revelations 2
0,greg-glenn,Biohazard / Resident Evil: Degeneration
0,harley-erez-morris,Biohazard / Resident Evil: Operation Raccoon City
0,helena-harper,Biohazard / Resident Evil 6
0,hunk,Biohazard / Resident Evil 2
1,hunk,Biohazard / Resident Evil 4
2,hunk,Biohazard / Resident Evil: The Mercenaries 3D
3,hunk,Biohazard / Resident Evil: Operation Raccoon City
4,hunk,Biohazard RE:2 / Resident Evil 2
0,ingrid-hunnigan,Biohazard / Resident Evil 4
1,ingrid-hunnigan,Biohazard / Resident Evil: Degeneration
2,ingrid-hunnigan,Biohazard / Resident Evil: Damnation
3,ingrid-hunnigan,Biohazard / Resident Evil 6
0,jack-krauser,Biohazard / Resident Evil 4
1,jack-krauser,Biohazard / Resident Evil: The Mercenaries 3D
0,jack-norman,Biohazard / Resident Evil: Revelations
0,jake-muller,Biohazard / Resident Evil 6
0,james-marcus,Biohazard / Resident Evil 0
0,jd-damnation,Biohazard / Resident Evil: Damnation
0,jessica-sherawat,Biohazard / Resident Evil: Revelations
0,jill-valentine,Biohazard / Resident Evil Clássico
1,jill-valentine,Biohazard / Resident Evil Remake
2,jill-valentine,Biohazard / Resident Evil: Deadly Silence
3,jill-valentine,Biohazard / Resident Evil 5
4,jill-valentine,Biohazard / Resident Evil: The Mercenaries 3D
5,jill-valentine,Biohazard / Resident Evil: Revelations
6,jill-valentine,Biohazard / Resident Evil: Operation Raccoon City
0,jim-chapman,Biohazard / Resident Evil Outbreak
1,jim-chapman,Biohazard / Resident Evil Outbreak File #2
0,joe-baker,Biohazard / Resident Evil 7
0,john,Biohazard / Resident Evil Clássico
1,john,Biohazard / Resident Evil 2
2,john,Biohazard / Resident Evil Remake
0,joseph-frost,Biohazard / Resident Evil Clássico
1,joseph-frost,Biohazard / Resident Evil Remake
2,joseph-frost,Biohazard / Resident Evil 0
3,joseph-frost,Biohazard / Resident Evil: Deadly Silence
0,josh-stone,Biohazard / Resident Evil 5
0,katherine-warren,Biohazard / Resident Evil 2
1,katherine-warren,Biohazard RE:2 / Resident Evil 2
0,keith-lumley,Biohazard / Resident Evil: Revelations
0,kenneth-j-sullivan,Biohazard / Resident Evil Clássico
1,kenneth-j-sullivan,Biohazard / Resident Evil Remake
2,kenneth-j-sullivan,Biohazard / Resident Evil 0
3,kenneth-j-sullivan,Biohazard / Resident Evil: Deadly Silence
0,kevin-dooley,Biohazard / Resident Evil Remake
1,kevin-dooley,Biohazard / Resident Evil 0
0,kevin-ryman,Biohazard / Resident Evil Outbreak
1,kevin-ryman,Biohazard / Resident Evil Outbreak File #2
0,kirk-mathison,Biohazard / Resident Evil: Revelations
1,kirk-mathison,Biohazard / Resident Evil 5
0,leon-s-kennedy,Biohazard / Resident Evil 2
1,leon-s-kennedy,Biohazard / Resident Evil Gaiden
2,leon-s-kennedy,Biohazard / Resident Evil 4
3,leon-s-kennedy,Biohazard / Resident Evil: Degeneration
4,leon-s-kennedy,Biohazard / Resident Evil: Operation Raccoon City
5,leon-s-kennedy,Biohazard / Resident Evil: Damnation
6,leon-s-kennedy,Biohazard / Resident Evil 6
7,leon-s-kennedy,Biohazard / Resident Evil: Vendetta
8,leon-s-kennedy,Biohazard RE:2 / Resident Evil 2
0,lily-klein,Biohazard Gun Survivor / Resident Evil Survivor
0,lott-klein,Biohazard Gun Survivor / Resident Evil Survivor
0,lucas-baker,Biohazard / Resident Evil 7
0,luis-sera,Biohazard / Resident Evil 4
0,lupo-karena-lesproux,Biohazard / Resident Evil: Operation Raccoon City
0,marguerite-baker,Biohazard / Resident Evil 7
0,marvin-branagh,Biohazard / Resident Evil 2
1,marvin-branagh,Biohazard / Resident Evil Outbreak File #2
2,marvin-branagh,Biohazard RE:2 / Resident Evil 2
0,mia-winters,Biohazard / Resident Evil 7
0,michael-warren,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,mikhail-victor,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,moira-burton,Biohazard / Resident Evil Revelations 2
0,morgan-lansdale,Biohazard / Resident Evil: Revelations
0,morpheus-d-duvall,Biohazard Gun Survivor 4: Heroes Never Die / Resident Evil Dead Aim
0,murphy-seeker,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,natalia-korda,Biohazard / Resident Evil Revelations 2
0,neil-fisher,Biohazard / Resident Evil Revelations 2
0,nicholai-ginovaef,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
1,nicholai-ginovaef,Biohazard / Resident Evil: Outbreak
2,nicholai-ginovaef,Biohazard / Resident Evil: Operation Raccoon City
0,osmund-saddler,Biohazard / Resident Evil 4
0,ozwell-e-spencer,Biohazard / Resident Evil Remake
1,ozwell-e-spencer,Biohazard / Resident Evil 0
2,ozwell-e-spencer,Biohazard / Resident Evil 5
0,parker-luciani,Biohazard / Resident Evil: Revelations
0,party-girl-sienna-fowler,Biohazard / Resident Evil: Operation Raccoon City
0,pedro-fernandez,Biohazard / Resident Evil Revelations 2
0,peter-walken,Biohazard / Resident Evil 7
0,piers-nivans,Biohazard / Resident Evil 6
1,piers-nivans,Biohazard The Stage
0,quint-ketcham,Biohazard / Resident Evil: Revelations
0,rachael-foley,Biohazard / Resident Evil: Revelations
0,ramon-salazar,Biohazard / Resident Evil 4
0,rani-chawla,Biohazard / Resident Evil: Degeneration
0,raymond-vester,Biohazard / Resident Evil: Revelations
0,rebecca-chambers,Biohazard / Resident Evil Clássico
1,rebecca-chambers,Biohazard / Resident Evil Remake
2,rebecca-chambers,Biohazard / Resident Evil 0
3,rebecca-chambers,Biohazard / Resident Evil: Deadly Silence
4,rebecca-chambers,Biohazard / Resident Evil 5
5,rebecca-chambers,Biohazard / Resident Evil: The Mercenaries 3D
6,rebecca-chambers,Biohazard The Stage
7,rebecca-chambers,Biohazard / Resident Evil Vendetta
0,reynard-fisher,Biohazard / Resident Evil 5
0,ricardo-irving,Biohazard / Resident Evil 5
0,richard-aiken,Biohazard / Resident Evil Clássico
1,richard-aiken,Biohazard / Resident Evil Remake
2,richard-aiken,Biohazard / Resident Evil 0
3,richard-aiken,Biohazard / Resident Evil: Deadly Silence
0,robert-kendo,Biohazard / Resident Evil 2
1,robert-kendo,Biohazard RE:2 / Resident Evil 2
0,rodrigo-juan-raval,Biohazard / Resident Evil CODE: Veronica
0,ron-davis-senador,Biohazard / Resident Evil: Degeneration
0,sherry-birkin,Biohazard / Resident Evil 2
1,sherry-birkin,Biohazard / Resident Evil: Operation Raccoon City
2,sherry-birkin,Biohazard / Resident Evil 6
0,sheva-alomar,Biohazard / Resident Evil 5
0,shona-lawrence-kimbala,Biohazard / Resident Evil: Operation Raccoon City
0,spectre-vladimir-bodrofski,Biohazard / Resident Evil: Operation Raccoon City
0,steve-burnside,Biohazard / Resident Evil CODE: Veronica
1,steve-burnside,Biohazard Gun Survivor 2 / Resident Evil Survivor 2
0,svetlana-belikova,Biohazard / Resident Evil: Damnation
0,tweed-marissa-ronson,Biohazard / Resident Evil: Operation Raccoon City
0,tyrell-patrick,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,vector,Biohazard / Resident Evil: Operation Raccoon City
0,veronica-ashford,Biohazard / Resident Evil CODE: Veronica
0,vincent-goldman,Biohazard Gun Survivor / Resident Evil Survivor
0,william-birkin,Biohazard / Resident Evil 0
1,william-birkin,Biohazard / Resident Evil 2
2,william-birkin,Biohazard / Resident Evil: Operation Raccoon City
3,william-birkin,Biohazard RE:2 / Resident Evil 2
0,willow-caroline-floyd,Biohazard / Resident Evil: Operation Raccoon City
0,yoko-suzuki,Biohazard / Resident Evil Outbreak
1,yoko-suzuki,Biohazard / Resident Evil Outbreak File #2
0,zoe-baker,Biohazard / Resident Evil 7
